Link,Name,Image,About,HowToMake,Ingredients,Garnish,Glass,Flavor,BaseSpirit,CocktailType,Preparation,Served,Strength,Difficulty,Hours,Occasions,Theme,Brands
https://www.liquor.com/recipes/loaded-pistol/,Loaded Pistol,https://cdn.liquor.com/wp-content/uploads/2019/11/25135235/Loaded-Pistol-credit-Arlene-Ibarra_article_720x720.jpg,This cocktail by Erick Castro the co-founder of San Diego’s Polite Provisions uses grasshopper salt as a rim.This recipe originally appeared as part of “Infused Salts Are the Next Big Cocktail Ingredients.”,Add all ingredients into a mixing glass with ice and stir for 30 seconds. Strain into double Old Fashioned glass over a large ice cube. Garnish with sprinkle of grasshopper salt. *Grasshopper salt: In a blender add 1/2 cup flaky sea salt and 2 tsp dehydrated grasshoppers. Set blender to pulse and blend for 7-12 seconds or until grasshoppers and salt are well-mixed. Store and seal grasshopper salt in airtight container.,Mezcal;Sweet vermouth;Strega;Grapefruit bitters,Grasshopper salt,Double Old Fashioned,Bitter;Smoky,,Modern Classics,Stirred,On the Rocks,Medium,Medium,Afternoon;Evening,,,Strega
https://www.liquor.com/recipes/rich-table/,Rich Table,https://cdn.liquor.com/wp-content/uploads/2019/11/25133931/Trick-Dog_The-Rich-Table-cocktail_article_720x720.jpg,This cocktail by Morgan Schick the creative director of San Francisco’s Bon Vivants and Trick Dog uses infused salt as a garnish. This recipe originally appeared as part of “Infused Salts Are the Next Big Cocktail Ingredients.”,Rim a highball glass with pinot noir sea salt. Add all ingredients into a shaker with ice and shake. Strain into a highball over fresh ice. Top with club soda. *Doug fir vodka: Add 16 oz Absolut Elyx vodka and 15 g fir tips into container and blend well. Let sit for 2 days. Strain through coffee filter. **Shiso-avocado syrup: Roast 2 avocado pits at 200 degrees F until shells start to dry out. Let cool peel and chop into quarters. In a pot toast pits along with 3/4 oz black peppercorns. Add 14 oz white sugar and 14 oz water bring to a boil then let simmer. Add 1/3 oz red shiso leaves and remove from heat. Steep for 30 minutes and strain.,Doug fir vodka;Martini &amp; Rossi Riserva Speciale Ambrato vermouth;Ancho Reyes chile liqueur;Shiso-avocado syrup;Fresh lemon juice;Club soda to top;Pinot noir sea salt rim,,Highball,Herbaceous;Spicy,Vodka,Modern Classics,Shaken,On the Rocks,Medium,Complicated,Afternoon;Evening,,,Absolut;Ancho Reyes;Elyx;Martini &amp; Rossi
https://www.liquor.com/recipes/hot-like-kohli/,Hot Like Kohli,https://cdn.liquor.com/wp-content/uploads/2019/11/25131950/hot-like-kohli_article_720x720_KatrineMoitePhotography.jpg,This take on a Spicy Margarita by Mikey Belasco the lead bartender at New York City’s GupShup yields herbal and floral notes. This recipe originally appeared as part of “Infused Salts Are the Next Big Cocktail Ingredients.”,Rim a rocks glass with chile-salt mix. Add all ingredients into a shaker with ice and shake. Strain into prepared glass over fresh ice. Garnish with a lemon wheel. *Green-chile-infused batch of tequila mezcal and pear cordial: In a 32 oz Mason jar add 12 oz Tromba blanco tequila 6 oz El Silencio mezcal 6 oz pear cordial 5 small whole green chiles and 5 small green chiles sliced down middle with seeds exposed. (When handling chiles use plastic gloves.) Seal and let sit for 24 hours then fine-strain to remove seeds. **1 oz Matcha-cilantro-mint simple syrup: Add 1 oz simple syrup and 1 tbsp matcha powder into medium-size pot at medium heat and stir for 2-3 minutes. Add 1 pinch of loose chopped cilantro stems removed and 1 pinch of mint leaves stems removed. Simmer for 12-15 minutes. Pour into large container and place container in an ice bath for 15 minutes then let sit at room temperature for 30 minutes. Fine-strain to remove leaves and powder residue. Can keep refrigerated for 1 month. ***Chile-salt mix: Combine 8 oz Marhaba Tajín powder 4 oz kosher salt 2 dried Thai Bird chiles 1 tbsp sugar 1 tsp ground pasilla negro chiles and 1/2 oz fresh lime juice.,Green-chile-infused tequila mezcal and pear cordial;Matcha-cilantro-mint simple syrup;Fresh lime juice;Chile tincture,Chile-salt mix;Lemon wheel,Rocks,Spicy,Tequila,Modern Classics,Shaken,On the Rocks,Medium,Complicated,Afternoon,,,El Silencio;Troma
https://www.liquor.com/recipes/paloma-milk-punch/,Paloma Milk Punch,https://cdn.liquor.com/wp-content/uploads/2019/11/21123248/dairy-free-milk-punch_paloma-milk-punch_article_720x720.jpg,This drink by Aaron Deary at Philadelphia’s R&D is textured subtly herbal fresh and vaguely familiar—a Paloma after a day of self-care and nip-tucking. With tequila hoja santa Chinese five-spice tarragon grapefruit coconut milk and club soda he admits that calling it a Paloma is a bit of a stretch. But without spices Deary says it wouldn’t be a milk punch either. “It’s about taking something that people recognize and combining it with something they’ve never seen before” he says. This recipe originally appeared as part of “In Pursuit of the Perfect Dairy-Free Milk Punch.”,Serves 10. In a Lexan or large shallow container combine tequila both liqueurs hoja santa and tarragon tea and spice mixture. Infuse for 2 hours then strain out spices. Return liquid to container. In a jug or container with a spout combine lime juice and grapefruit juice. Heat coconut milk to 170 degrees F stirring constantly. Transfer hot coconut milk to a jug or container with a spout. Very slowly and simultaneously pour both coconut milk and citrus over entire surface of punch. Milk will break initially then become cloudy. After 30 minutes a layer of curds should form. Rest punch at room temperature for 1 hour then transfer to a refrigerator for 1 hour. Strain punch through cheesecloth then through coffee filters or a Superbag and refrigerate. Pour approximately 3 oz into a rocks glass over a large ice cube. Top with club soda. *Hoja santa and tarragon tea: Bring 1 L filtered water to boil. Add 1 large hoja santa leaf 5 tarragon sprigs and simmer for 20 minutes. Strain through fine-mesh strainer and chill in ice bath. **Spice mixture: Toast 1 3/4 oz cinnamon sticks 1 oz star anise pods 1/3 oz Szechuan peppercorns 1/3 oz whole cloves 1 oz green cardamom pods and 1/3 oz fennel seeds in a pan over medium heat until fragrant for no more than 5 minutes. (Start with cinnamon and star anise then add rest as they toast quickly.) Remove and let cool.,Blanco tequila;Giffard crème de pamplemousse rose liqueur;Ancho Reyes verde chile liqueur;Hoja santa and tarragon tea;Spice mixture;Fresh lime juice;Grapefruit juice;Coconut milk;Club soda to top,,Rocks,Herbaceous,Tequila,Punches,Built in Glass,Large Ice Cube,Medium,Complicated,Evening,,,Ancho Reyes;Giffard
https://www.liquor.com/recipes/hit-me-baby-one-more-gluhwein/,Hit Me Baby One More Gluhwein,https://cdn.liquor.com/wp-content/uploads/2019/11/20142431/hit-me-baby-one-more-gluwhein-720x720-recipe.jpg,Between the ode to Britney and the subtly sweet aromatic liqueur that defines the flavor profile of this recipe from Townshend’s distillery in Portland Ore. this easy mulled wine riff is a cold-weather crowd pleaser. Thanks to the use of cream sherry and a minimal touch of honey expect a rich round mouthfeel without the typical cloying sweetness of traditional glühwein.This recipe originally appeared as part of “4 Warming Crock-Pot Cocktail Recipes to Try at Home.”,Serves 10. Add all ingredients into a slow cooker and set temperature to “low” for approximately one hour. Switch to “keep warm” and serve as desired. Add honey to taste if necessary. Garnish with an orange peel along with spices of choice such as a cinnamon stick star anise and grated nutmeg.,Syrah (750 mL);Townshend Bluebird alpine liqueur (375 mL);Peels and juice of 1/2 orange;Honey;Cream sherry (375 mL);Grated nutmeg,Orange peel;Cinnamon stick;Star anise,Glass mug,Sweet,Wine,Hot,Cooked/Heated,Hot/Warm,Medium,Medium,Evening,Thanksgiving;winter,Holiday Season;Winter,Bluebird;Townshend
https://www.liquor.com/recipes/temple-toddy/,Temple Toddy,https://cdn.liquor.com/wp-content/uploads/2019/11/20141136/temple-toddy-720x720-recipe.jpg,Inspired by a trip to Ireland and an affinity for the tropics award-winning bartender Steven Gonzalez of The Living Room at Park Hyatt in New York City adds an unexpected flavor to the traditional toddy with the addition of mango. In this recipe the whiskey is added at the very end minimizing any compromise to the spirit’s flavor profile and allowing it to shine in the finished product.This recipe originally appeared as part of “4 Warming Crock-Pot Cocktail Recipes to Try at Home.”,Peel and chop the apple lemon mango and ginger. Add the apple lemon mango ginger star anise cinnamon sticks and 32 oz water into a Crock-Pot. Cover and set  to “low.” Cook for 1 hour. Muddle all solids and strain mixture through a fine strainer. (Yields 6 oz.). Combine mixture whiskey and honey into a Hot Toddy mug. Garnish with a cinnamon stick and a lemon wheel.,Granny Smith apple;Lemon;Mango;Ginger (2 in);Star anise;Cinnamon sticks;Jameson Irish whiskey;Honey,Cinnamon stick;Lemon wheel,Hot Toddy mug,Fruity/Citrus-forward;Sweet,Irish Whiskey;Whiskey,Hot,Cooked/Heated,Hot/Warm,Medium,Medium,Evening,Christmas;Thanksgiving,Holiday Season;Winter,Jameson
https://www.liquor.com/recipes/bring-me-back-something-french/,Bring Me Back Something French,https://cdn.liquor.com/wp-content/uploads/2019/11/20135550/bring-me-back-something-french-720x720-recipe.jpg,There’s something about anise and chocolate that wins every single time. In this rich low-ABV hot cocoa recipe by Stephen Denaro of Craft & Commerce in San Diego (home to Tiki speakeasy False Idol) the build itself is simple enough focusing the bulk of the work on the hot chocolate itself.This recipe originally appeared as part of “4 Warming Crock-Pot Cocktail Recipes to Try at Home.”,Place a Crock-Pot bag in the pot (to will aid in cleanup and prevent sticking) add in first six ingredients and set to high. (Yields 6 oz.). Once mixture is hot turn Crock-Pot to “warm” stirring periodically to prevent separation. Add mixture and absinthe into a decorative mug and stir. Garnish with vanilla whipped cream decorative sugar and 2 Pocky sticks. **Vanilla whipped cream: Add 2 cups heavy cream and 3 oz Monin vanilla syrup in a mixing bowl and beat with a hand mixer until it begins to peak.,Whole milk;Sweetened condensed milk (14 oz);Cocoa powder;Heavy cream;Semisweet chocolate chips;Salt;Absinthe,Vanilla whipped cream;Decorative sugar;Pocky sticks,Mug,Sweet,Absinthe,Hot,Cooked/Heated,Hot/Warm,Light,Medium,Evening,Christmas;Thanksgiving,Holiday Season;Winter,
https://www.liquor.com/recipes/hey-gourdgeous/,Hey Gourdgeous,https://cdn.liquor.com/wp-content/uploads/2019/11/20134442/her-gourdgeus-720x720-recipe.jpg,According to NYC bartender and consultant Joanna Carpenter mini pumpkins are more than just throwaway fall décor. If you have the time (and an efficient scooping tool) this recipe along with its over-the-top edible vessels should be at the top of your list for winter kitchen experiments. This recipe originally appeared as part of “4 Warming Crock-Pot Cocktail Recipes to Try at Home.”,In a slow cooker add apples lemon juice maple syrup and 8 oz water then top with ginger cinnamon sticks star anise cloves and nutmeg. Stir then cover and cook on high for one hour. Add apple brandy and amaro and gently stir to mix. Cover again and cook on high for another hour. Turn to low to keep warm and serve as needed. *Spiced-butter-brushed baked mini pumpkins: Preheat oven to 350 degrees. Slice off tops of 6 small pumpkins and hollow out insides making sure not to scoop the walls too thin. Arrange pumpkins on a baking sheet cut side down and bake for 10-12 minutes or until the insides are mushy. In the meantime in a shallow saucepan on medium heat add 2 sticks of salted butter 4 cinnamon sticks and 1 tsp ground nutmeg. When butter is melted stir in 1 cup packed brown sugar until completely mixed. Keep warm on very low heat so the mixture doesn't burn. Remove pumpkins from oven and turn them cut side up. Let stand to cool for 10 minutes. Brush spiced butter over inside of each pumpkin before pouring warm cocktail from slow cooker into each pumpkin.,Granny Smith apples cored and cut into chunks;Fresh lemon juice;Real maple syrup;Fresh ginger peeled and sliced;Cinnamon sticks;Star anise;Whole cloves;Ground nutmeg;Apple brandy (750 mL);Amaro Montenegro (375 mL);Spiced-butter-brushed baked mini pumpkins,Grated cinnamon;Cinnamon stick,Small pumpkin,Spicy,Brandy,Hot,Cooked/Heated,Hot/Warm,Medium,Medium,Afternoon;Evening,Christmas;Thanksgiving,Holiday Season;Winter,Montenegro
https://www.liquor.com/recipes/apple-cranberry-moscow-mule/,Apple Cranberry Moscow Mule,https://cdn.liquor.com/wp-content/uploads/2019/11/20081258/apple-cranberry-moscow-mule-720x720-article.jpg,It’s no surprise that the Moscow Mule is one of the most popular cocktails of the last 20 years. It is easy to make and easy to drink and comes in its own cool mug. This fun fall recipe pairs cran-apple and lime juice with vodka and ginger beer. Add plenty of fresh fruits as a garnish and you have a Moscow Mule that can take you right into the new year. ,Pour the first 3 ingredients into a mule mug and add ice. Top with ginger beer. Garnish with fresh cranberries and apple slices.,Vodka;Cran-Apple juice;Fresh lime juice;Ginger beer to top,Cranberries;Apple slices,Mule mug,Sour;Sweet,Vodka,Modern Classics,Built in Glass,On the Rocks,Medium,Simple,Afternoon,Thanksgiving,Fall,
https://www.liquor.com/recipes/red-beans-rice-orgeat/,Red Beans & Rice Orgeat Recip,https://cdn.liquor.com/wp-content/uploads/2019/11/14130852/Red-Beans-Rice-Orgeat-720x720-recipe.jpg,Orgeat the staple sweetener used in Tiki drinks is made with almonds. But if you have a nut allergy this is a great alternative. The red beans give it the feel of adzuki (sweet red bean mash popular in Chinese pastries) and the citrus in orange blossom water complements the vanilla beans better and makes the orgeat a little more versatile for classic Tiki drinks. This recipe originally appeared as part of “This Is the Only Nut-Free Orgeat Recipe You’ll Ever Need.”,In a large rondeau pot toast beans and rice until lightly browned. Add vodka orange blossom water vanilla beans and 8 cups water and bring to a boil. Remove from heat strain liquid and reserve liquid. Put resulting mash back in pot add 8 cups sugar and 8 cups water. Bring to a boil remove from heat strain and reserve liquid. Combine mash and both reserved liquids. Keeps in refrigerator for up to one month.,Dry red beans;White rice;Vodka;Orange blossom water;Vanilla beans;Sugar,,,Sweet,Vodka,,Cooked/Heated,,Light,Medium,,,,
